"","sub","item","seq","xPos","yPos","x1","x2","y1","y2","fix_num","fix_dur","word_text","word_sent","word_line","line","sent","wordID","word_len","predict","VA","Rtn_sweep","Rtn_sweep_type","prevX","nextX","freq","zipf","LandStartVA","prevVA","undersweep_prob"
"14208","sub06",3,31,321.7,189.7,313,362,154,246,17,137,18,18,2,2,1,"who",3,0.071428571,0.33,1,"under-sweep",1236.5,249.8,113370,6.34633612,3.7675,26.6375,1
"14233","sub06",3,31,296.5,358.6,171,230,336,422,42,223,52,8,1,4,3,"California",2,0.30952381,0.33,1,"under-sweep",1297.8,242.5,1972,4.586961227,3.1375,28.17,1
"14265","sub06",15,32,220.7,185,172,302,154,246,19,182,17,17,1,2,1,"subpoena",8,0.108108108,0.33,1,"accurate",1306,321,113,3.348738993,1.2425,28.375,0
"14287","sub06",15,32,242.9,275.7,172,299,246,338,41,302,34,15,1,3,2,"silence.",7,0.054054054,0.33,1,"accurate",1201.6,370.6,1294,4.404103911,1.7975,25.765,0
"14298","sub06",15,32,340.7,357.4,302,422,338,422,52,125,51,17,3,4,3,"different",9,0,0.33,1,"under-sweep",1264,245.8,10686,5.320689952,4.2425,27.325,1
"14341","sub06",30,33,296.7,165.6,278,351,154,246,12,190,18,18,2,2,1,"study",5,0.325,0.33,1,"under-sweep",1306.4,262.1,2501,4.690121448,3.1425,28.385,1
"14350","sub06",30,33,272.9,258.2,172,290,246,330,21,312,34,15,1,3,2,"steroid",7,0,0.33,1,"accurate",1190.6,409.7,20,2.614053437,2.5475,25.49,0
"14371","sub06",39,34,329.4,160.3,290,411,154,246,14,118,18,18,2,2,1,"diversity",9,0.078947368,0.33,1,"under-sweep",1262.3,264.8,56,3.047708998,3.96,27.2825,1
"14469","sub06",51,36,316.1,365.6,173,338,338,422,38,128,46,22,1,4,2,"regulations",11,0.142857143,0.33,1,"under-sweep",1249.6,253.1,325,3.805051742,3.6275,26.965,1
"14502","sub06",8,37,290.8,262.6,242,302,246,338,26,159,33,13,2,3,2,"lost",4,0.255813953,0.33,1,"under-sweep",1320.7,238.9,13974,5.437185959,2.995,28.7425,1
"14518","sub06",8,37,382.6,343.2,326,446,338,422,42,99,47,8,3,4,3,"eliminate",9,0.023255814,0.33,1,"accurate",311.7,591.6,305,3.777555569,5.29,3.5175,0
"14547","sub06",53,38,299.8,180.5,266,301,154,246,13,131,17,17,2,2,1,"to",2,0.783783784,0.33,1,"under-sweep",1228.7,240.2,1156570,7.355006441,3.22,26.4425,1
"14557","sub06",53,38,338.6,265.8,254,349,246,338,23,181,36,14,2,3,2,"matters",7,0.222222222,0.33,1,"accurate",1306.5,472.9,1710,4.525084152,4.19,28.3875,0
"14624","sub06",31,39,321.9,204.2,314,361,154,246,19,113,20,20,3,2,1,"the",3,0.975,0.33,1,"under-sweep",1272.9,246.6,1501908,7.468477762,3.7725,27.5475,1
"14633","sub06",31,39,400.3,285.7,338,408,246,330,28,187,36,5,3,3,2,"them,",4,0.1,0.33,1,"under-sweep",1271.3,278.9,90720,6.249541971,5.7325,27.5075,1
